feature,mean_abs_shap
C13,0.22670474719958134
V70,0.16761507180317997
C14,0.1598147828223967
card6,0.12837380686386654
TransactionAmt,0.12729594918195308
card_txn_count,0.11672079781448864
C1,0.10962216971814323
R_emaildomain,0.10453145729582543
D1,0.10211987095286175
P_emaildomain,0.10172535257294284
card_time_since_first,0.10067354409037284
V294,0.1006467270104541
M4,0.09866012690631303
C11,0.09602278466712569
card_amt_std,0.09465393027204518
M6,0.08916624122558492
card2_freq,0.08801465367504725
card_unique_email,0.07831893094197855
card_unique_addr,0.07677357499224517
D15,0.07641281225675113
D2,0.07406603277610033
D4,0.07213126277672503
V258,0.07023351329096923
V91,0.06736824034993479
C2,0.06396983893241713
dist1,0.06322269007050933
uid_amt_mean,0.06142774195049674
addr1,0.05993610847326007
M5,0.05798436434463762
C5,0.05558519773191982
C6,0.04666941834296571
D10,0.046263858489755935
D3,0.0450191430495581
M3,0.04318477074799645
card5_freq,0.0429629125848101
amt_to_uid_mean,0.03850077427452062
hour,0.036778106782982455
V312,0.03651508216621733
V90,0.0362134795277224
D8,0.03518171300391978
D11,0.034993610535738656
V308,0.03354128747071798
D5,0.03203086624621483
amt_to_card_mean_ratio,0.029309975797649747
card3_freq,0.028715637120447543
uid_amt_std,0.028584248421918135
amt_z_score_card,0.02662271506499527
amt_log,0.02615908125903746
uid_txn_count,0.026116784756425652
C9,0.02426891371268194
C8,0.02342505894789214
id_02,0.022695548063554324
V310,0.022668750196669654
D6,0.02120830854202727
ProductCD,0.020403960322736916
V309,0.01990748942511891
card_age,0.019107452991340437
V285,0.018069961309141007
id_06,0.01731049090260233
card1_freq,0.016430083643171594
id_20,0.016383903014691323
V281,0.016214334101619703
V37,0.016083203246944913
D13,0.016073917999361705
id_17,0.015441027233877741
V11,0.015237204423857221
V317,0.015211467676855892
M9,0.014903375305956467
V38,0.014633162344904147
V82,0.01437137190663251
V131,0.013936579332619329
V54,0.013568244387328787
V45,0.013504287154935747
V30,0.013484712670990603
V165,0.013445467450694082
V29,0.013050822386641696
screen_height,0.012814060550248316
browser_ie,0.012771185390136858
V163,0.012536238380709894
V67,0.012445671876293234
M7,0.012072777386364506
V62,0.012045039211567467
id_38,0.01171858112508842
V94,0.01132795309583211
V2,0.011309842461144177
D14,0.01105237844487484
day_of_week,0.01058765429903991
V283,0.010453116365105
id_14,0.010450519741325215
id_01,0.010381427560428615
V56,0.010006233953530837
C10,0.00989475000159858
V61,0.009860998781608787
V55,0.009768241661261765
V130,0.00948410704835572
P_is_free_email,0.0094656091996513
V315,0.009370422901806832
C12,0.009363814152293258
C3,0.008990029609130559
V280,0.008922277198937276
V149,0.008739808620236409
M2,0.00860483074398348
V314,0.008591318033037582
id_19,0.008498651289834864
V102,0.0084645093118694
V313,0.008422291714528117
V320,0.008352778622328447
id_05,0.008273189179321197
uid_amt_z_score,0.008227083376462684
id_13,0.008129195384945772
V76,0.00784441049069771
V53,0.0076412693421799485
V307,0.007541336952077036
V49,0.007409289574720955
card4,0.007382325195792912
V13,0.007368747941791273
V87,0.007341164189281288
V36,0.007268668788240181
V187,0.007190438136119836
V124,0.007173848741466061
V133,0.00696323677187743
V282,0.0068575142774424105
V35,0.006846813406248178
V189,0.006743568707861636
V83,0.006716799781283653
M8,0.0066877779557745765
V69,0.006630244132497553
V20,0.006571500206473307
V136,0.006558199887866991
V127,0.006546292334885298
V156,0.006389818107047901
V99,0.0063496654441893546
V24,0.006346264586074361
V19,0.006035826671214979
V291,0.005805805298346632
C4,0.005587468054769815
V52,0.0054949526786543445
V152,0.005454097881617893
V75,0.00539995528736032
V336,0.005255919411835424
V128,0.0052220036209806595
V12,0.00510545664798083
V140,0.005047168467680119
V96,0.004979723866582051
V266,0.004752408173111677
V160,0.004682092143799407
V332,0.0045813252453632955
V4,0.004560185964503
V316,0.004533350699773492
V7,0.0044279946630587375
V86,0.004412674241679203
V164,0.004300655221087735
id_11,0.00428538459734612
V77,0.003900993515367768
id_32,0.003806414327234665
V217,0.0038050857446580858
V311,0.003659720778194186
V331,0.0036163939860821897
V139,0.003596164391297394
V5,0.00358510767599441
id_09,0.0035501603189883484
V244,0.003541640829596752
is_mobile,0.003505576298952861
os_windows,0.003470926827107533
os_mac,0.003456849020553864
V209,0.0034408742472817806
V267,0.0034276866441261176
V323,0.0033690095322636625
is_other_device,0.003352479586040287
V162,0.0033475795029299944
V95,0.003213986338671659
V51,0.0031653250374673956
V161,0.00314004663232101
browser_chrome,0.003119281119912559
D9,0.003063594617428236
is_windows,0.0030194453695167153
screen_width,0.003018489488444686
V169,0.003017378070692216
V178,0.002964412860050909
V296,0.002945317448903481
V215,0.0029392298381652757
V306,0.0029369266499962685
V333,0.0029317639706381614
V48,0.0028035458840819007
id_03,0.0027527031405815026
V182,0.002730926230393909
V293,0.0027076851019486423
V243,0.0026021390101802697
V216,0.0025495455739145394
V60,0.002540177074553824
D12,0.0025012452351327284
V44,0.0024937743001407896
V201,0.0024538136545827604
V218,0.002424161220915553
V78,0.002394192820853043
V290,0.002372532256436612
is_mac,0.0023271627358295993
V261,0.002282855665302312
V23,0.0022466778049147268
V214,0.002181982776879223
V203,0.0021363700069028193
V295,0.0021281195126255327
id_37,0.0020997834191410765
V40,0.002095331560949466
V50,0.002092924754000254
V224,0.002089608625023346
V177,0.0020193997603526167
V335,0.0019851788673851322
V126,0.0019749433277005406
browser_safari,0.001971906377487646
V251,0.001967457990420805
V26,0.0019643368448663914
V135,0.0019074289043204751
V25,0.001869772034629742
V276,0.0018467013839741267
V226,0.0018438624321221642
V79,0.0018346913788855797
V47,0.001790890614421757
V324,0.001701572084835935
V286,0.0016904091556562341
V257,0.0016868396426016645
V253,0.0016853107499264699
V43,0.0016461258850403368
V3,0.0016139034107503403
V72,0.0016030066296870054
V34,0.0015807987825959193
V202,0.0015517621969910556
V263,0.0015365544978551123
V318,0.001534018763769291
V248,0.0015320399553313286
V213,0.0015288726464142686
V172,0.0015286358442404388
V66,0.0015174593999664368
V10,0.0014881915534250515
V171,0.0014850436988948345
V8,0.001461779244054219
V289,0.0014566667836683957
V181,0.0014458327642150283
is_ios,0.0013746078759537357
V159,0.0013521065005591322
id_04,0.001322132876792779
V184,0.001319442133657143
V300,0.0013116521421088964
V205,0.0013013990133569641
V6,0.0012742919756377324
V265,0.0012681425889956245
V206,0.0012526128065080706
V129,0.0012417618504345206
V337,0.001224937279542696
V81,0.001198393684965749
V74,0.0011893578447231823
V33,0.0011444092068629693
V64,0.0011217047521435793
V212,0.0011154366923615453
V58,0.0011109114692948313
V329,0.001096289785585618
V151,0.0010785547702025359
V271,0.0010768686816648014
is_desktop,0.001067206345145234
V137,0.0010344186954527586
V228,0.001030507080238209
V230,0.0009923686596402786
V231,0.0009908948483126389
V170,0.0009851459704852833
V46,0.0009610634570428475
V210,0.0009506234858783964
V97,0.0009345807252768884
V232,0.0009342503868495271
V39,0.0009339012203442619
id_15,0.0009158374616330181
V208,0.0009103798240997872
V207,0.0009085967099554743
V234,0.0008912377727566353
V298,0.0008862724075572345
M1,0.0008852302286795762
V200,0.0008806050735237698
V274,0.0008741599740367812
is_night,0.0008736998899508446
V167,0.0008600540749114293
V264,0.0008578368546106466
V222,0.0008532546729510699
V301,0.000821598186952414
V221,0.0008195582489578799
V223,0.0008167637029815591
R_is_free_email,0.00081217672810551
V270,0.0007981264622440936
V143,0.0007674142422443459
V245,0.0007591721208726378
C7,0.0007577968125873288
V175,0.0007388909912023721
V150,0.0007307870905070739
V268,0.0007212987083849729
V166,0.0007174637832105653
id_34,0.0007080633273990726
V287,0.0007054073951847831
V326,0.0006991019863997272
V321,0.0006896147095533303
V275,0.0006734227418824017
V15,0.0006706728696421413
V144,0.0006643403043391105
id_10,0.0006600857323636612
addr2,0.0006597432616706695
V246,0.0006542063424913877
V225,0.0006495964567538992
V185,0.0006450536706514974
V85,0.000643945270933235
V145,0.0006419209735741639
V327,0.0006360489223676962
browser_firefox,0.0006266927262852986
V59,0.0006215516918051735
V319,0.0006165025669029799
V100,0.0006136617173690267
V63,0.0005912070640467006
V73,0.0005813009604071361
V192,0.0005802438646690718
V219,0.0005396256091360882
V92,0.0005229436887842176
V299,0.0005144259177498502
V125,0.0005142548283412002
V277,0.0005078454673006452
V115,0.000497058589561835
V304,0.00048232935792346803
V132,0.0004557973578718868
V220,0.00044748487709460647
V211,0.00044582714339420264
V168,0.00044121186813066913
V297,0.0004350731701904805
V180,0.0004300969760587244
V288,0.0004234058424703948
V183,0.0003869966022137051
V269,0.00035366844030100764
os_android,0.0003518233941731474
V147,0.0003470987650172508
V158,0.0003421047912499018
V303,0.00034158314055358446
V233,0.0003346106069416209
V199,0.00032822627126956203
V338,0.0003238660690413669
V235,0.0003221712814443955
id_12,0.0003205735055521919
id_36,0.0003171163847613542
V259,0.0003064667480741724
V9,0.0003062794195772895
V155,0.00030278455719253794
V157,0.0002967689263692643
V80,0.0002855712167407214
V256,0.000276908990051905
V238,0.00027358168059345123
V134,0.00027271090699868645
V111,0.00027213158343273106
V278,0.00026725424111275533
V272,0.0002619719426110725
V237,0.0002564608394011358
V154,0.00024966323151927935
V292,0.00024835603375132013
V322,0.00024430369562143515
V109,0.00023781362971605336
V174,0.00022714466147525446
V176,0.00021500989731987213
V173,0.00021154041462031648
V121,0.0002106254053870797
V204,0.00020960765101837815
V262,0.000209182844557266
V93,0.00020485082934657126
V260,0.00018620653179359076
V148,0.00018461784056980306
V105,0.0001834473823992331
V123,0.00018093406929045627
id_16,0.00017571381341145422
V18,0.0001613249817799665
V42,0.0001601386625062548
V57,0.0001459732934649468
V153,0.000141606306320115
V227,0.00012801243208600895
V273,0.00012731026329819656
V21,0.00012201533361390922
V16,8.988174395079172e-05
V279,8.816834198373568e-05
V255,8.270314762346628e-05
V32,8.095091528315424e-05
is_samsung,8.010947674678458e-05
V142,7.33702945609281e-05
V103,7.236205443258917e-05
V249,6.828283433956225e-05
browser_samsung,6.362137179814626e-05
id_29,6.104484175200342e-05
id_35,5.592347870616448e-05
V328,5.132317189980262e-05
V71,2.01012801030094e-05
V193,1.8078628325121796e-05
V114,2.335297857536221e-06
V186,0.0
V305,0.0
V302,0.0
V196,0.0
V197,0.0
V284,0.0
V236,0.0
V190,0.0
V188,0.0
V198,0.0
V179,0.0
V240,0.0
V229,0.0
V254,0.0
V252,0.0
V250,0.0
V239,0.0
os_ios,0.0
is_new_card,0.0
id_28,0.0
V41,0.0
V241,0.0
V242,0.0
V247,0.0
V191,0.0
V194,0.0
V195,0.0
V141,0.0
V22,0.0
V112,0.0
V110,0.0
V107,0.0
V108,0.0
V106,0.0
V122,0.0
V138,0.0
V325,0.0
V146,0.0
V14,0.0
V17,0.0
V113,0.0
V118,0.0
V119,0.0
V116,0.0
V117,0.0
V101,0.0
V98,0.0
V89,0.0
V88,0.0
V334,0.0
V339,0.0
V120,0.0
V330,0.0
V27,0.0
V65,0.0
V84,0.0
V68,0.0
V104,0.0
V31,0.0
V28,0.0
V1,0.0
